label,base_clone,stream_type,work_mode,network_1,ip_address_1,port_1,ttl_1,network_2,ip_address_2,port_2,ttl_2
TAG105A-OUT,1 TEMPLATE OUT,MPEG-TS,,RED-1,10.127.2.57,2000,16,BLUE-1,10.127.3.57,2000,16
TAG105A-OUT,1 TEMPLATE OUT,2110-20,HD/3G-SDI (Progressive),RED-1,227.0.5.1,3000,16,RED-2,227.0.5.1,3001,16
TAG105B-OUT,1 TEMPLATE OUT,MPEG-TS,,RED-1,10.127.2.58,2000,16,BLUE-1,10.127.3.58,2000,16
TAG105B-OUT,1 TEMPLATE OUT,2110-20,HD/3G-SDI (Progressive),RED-1,227.0.5.2,3000,16,RED-2,227.0.5.2,3001,16
TAG105C-OUT,1 TEMPLATE OUT,MPEG-TS,,RED-1,10.127.2.59,2000,16,BLUE-1,10.127.3.59,2000,16
TAG105C-OUT,1 TEMPLATE OUT,2110-20,HD/3G-SDI (Progressive),RED-1,227.0.5.3,3000,16,RED-2,227.0.5.3,3001,16
TAG105D-OUT,1 TEMPLATE OUT,MPEG-TS,,RED-1,10.127.2.60,2000,16,BLUE-1,10.127.3.60,2000,16
TAG105D-OUT,1 TEMPLATE OUT,2110-20,HD/3G-SDI (Progressive),RED-1,227.0.5.4,3000,16,RED-2,227.0.5.4,3001,16
TAG106A-OUT,1 TEMPLATE OUT,MPEG-TS,,RED-1,10.127.2.61,2000,16,BLUE-1,10.127.3.61,2000,16
TAG106A-OUT,1 TEMPLATE OUT,2110-20,HD/3G-SDI (Progressive),RED-1,227.0.5.4,3000,16,RED-2,227.0.5.4,3001,16
TAG106B-OUT,1 TEMPLATE OUT,MPEG-TS,,RED-1,10.127.2.62,2000,16,BLUE-1,10.127.3.62,2000,16
TAG106B-OUT,1 TEMPLATE OUT,2110-20,HD/3G-SDI (Progressive),RED-1,227.0.5.5,3000,16,RED-2,227.0.5.5,3001,16
TAG106C-OUT,1 TEMPLATE OUT,MPEG-TS,,RED-1,10.127.2.63,2000,16,BLUE-1,10.127.3.63,2000,16
TAG106C-OUT,1 TEMPLATE OUT,2110-20,HD/3G-SDI (Progressive),RED-1,227.0.5.6,3000,16,RED-2,227.0.5.6,3001,16
TAG106D-OUT,1 TEMPLATE OUT,MPEG-TS,,RED-1,10.127.2.64,2000,16,BLUE-1,10.127.3.64,2000,16
TAG106D-OUT,1 TEMPLATE OUT,2110-20,HD/3G-SDI (Progressive),RED-1,227.0.5.6,3000,16,RED-2,227.0.5.6,3001,16
