uuid,label,access_type,service_type,tally_settings
66af9c02-1a31-436a-9297-feb85c32984b,TAG105A-01,2110,HD Video,tsl_1_1
f28c1c09-5957-47a9-aa45-07f76970a22b,TAG105A-02,2110,HD Video,tslABC_1_2
3b2c2d8e-31af-454e-b02f-75c96ec3a534,TAG105A-03,2110,HD Video,tsl_1_3
b83396a1-7f03-4c31-8e37-b14b1a863c09,TAG105A-04,2110,HD Video,tsl_1_4
3a1347e7-dee1-474b-a558-2facad595deb,TAG105A-05,2110,HD Video,tsl_1_5
a5e3342b-ca45-46f3-b487-57bb5d10ae06,TAG105A-06,2110,HD Video,tsl_1_6
35df2da3-7e9a-45d8-a80a-325a5fc405cd,TAG105A-07,2110,HD Video,tsl_1_7
d0b07aff-4fa9-49f6-85f5-6944f5de1f1e,TAG105A-08,2110,HD Video,tslCDE_1_8
e23e7c86-fbfb-4e76-9dfc-d04f88fcdaeb,TAG105A-09,2110,HD Video,tsl_1_9
0f7e7272-2bca-43bf-9b3f-f23617686bdb,TAG105A-10,2110,HD Video,tsl_1_10
00445b8f-0e31-42dc-a493-f2bbf240ba4d,TAG105A-11,2110,HD Video,tsl_1_11
999562e1-a771-4332-befd-2df2d7914678,TAG105A-12,2110,HD Video,tsl_1_12
391f321c-7ec0-49fd-8e78-8fdc17dc3cde,TAG105B-01,2110,HD Video,tsl_1_1
90215518-6a0c-448a-bded-f761ebb02f0f,TAG105B-02,2110,HD Video,tsl_1_2
632f0264-0aa7-49e6-9b40-df237b24467b,TAG105B-03,2110,HD Video,tsl_1_3
22ee1074-a967-420b-923e-2c79eb37348d,TAG105B-04,2110,HD Video,tsl_1_4
dd34f33c-b742-491e-a68a-a56365ac0a3a,TAG105B-05,2110,HD Video,tsl_1_5
44d18ef9-143f-412d-9640-0021c44d364a,TAG105B-06,2110,HD Video,tsl_1_6
7ca3a4e9-0e22-4b07-a7ed-cf8641e0deb3,TAG105B-07,2110,HD Video,tsl_1_7
2c44c9cb-7199-4374-ac37-86787f29cb85,TAG105B-08,2110,HD Video,tsl_1_8
e4b2f9b6-33b7-4731-b9de-7b38ccd6c192,TAG105B-09,2110,HD Video,tsl_1_9
8b499392-64d2-437a-9a56-775cf480ada2,TAG105B-10,2110,HD Video,tsl_1_10
e67e326f-6d93-474c-8411-4bc9f72f8526,TAG105B-11,2110,HD Video,tsl_1_11
cba1e160-9d4f-4232-803b-5d8fc9845110,TAG105B-12,2110,HD Video,tsl_1_12
d6f19115-2259-4898-a229-28b225a8653f,TAG105C-01,2110,HD Video,tsl_1_1
72c92fee-7701-4f05-bc0f-8e05f5d66834,TAG105C-02,2110,HD Video,tsl_1_2
8d6b98a8-eb22-490c-87b8-b9311ee6db70,TAG105C-03,2110,HD Video,tsl_1_3
41e01519-4a71-4d8c-9a9c-6ed00ec71dd6,TAG105C-04,2110,HD Video,tsl_1_4
6bba62d1-40e7-4c21-a7a8-b1a0dc179547,TAG105C-05,2110,HD Video,tsl_1_5
2a1ad75e-49aa-4aaf-938a-7124be1b1d77,TAG105C-06,2110,HD Video,tsl_1_6
98b9545f-b1e2-41b9-91ee-967763002094,TAG105C-07,2110,HD Video,tsl_1_7
570d776f-84bd-4e7b-ae74-4c877b6f6313,TAG105C-08,2110,HD Video,tsl_1_8
c4befc43-555c-486f-adf4-490a3cd14fd7,TAG105C-09,2110,HD Video,tsl_1_9
4a1767b3-7d21-41d6-b043-f77d077bb85a,TAG105C-10,2110,HD Video,tsl_1_10
4033462c-51ef-43ce-98f6-5831a0e5a597,TAG105C-11,2110,HD Video,tsl_1_11
df699996-4baa-4bbd-b48a-4d5c989a26ee,TAG105C-12,2110,HD Video,tsl_1_12
0b0b17ca-573d-4a0e-9477-c4b9170ca660,TAG105D-01,2110,HD Video,tsl_1_1
6d2e7da0-1dae-47c0-b3b6-0144f50f89de,TAG105D-02,2110,HD Video,tsl_1_2
86b6a291-d54e-48d0-b110-ab6aad55e478,TAG105D-03,2110,HD Video,tsl_1_3
0c70c9cb-c1db-43fe-8de1-fc0aae4976cf,TAG105D-04,2110,HD Video,tsl_1_4
a495688e-0ceb-42e4-868a-eac4a8472a82,TAG105D-05,2110,HD Video,tsl_1_5
7091557d-5459-416d-9284-48887993f3a0,TAG105D-06,2110,HD Video,tsl_1_6
182b5738-5bee-4a82-8f26-0ad16b88ad61,TAG105D-07,2110,HD Video,tsl_1_7
593e3883-ea6e-446a-ad14-58f2cfb54ffa,TAG105D-08,2110,HD Video,tsl_1_8
df8396f4-e0de-416c-80a8-9b1d2ae695db,TAG105D-09,2110,HD Video,tsl_1_9
c1bb5f58-03ba-439d-9a1d-b41bfbbecd7b,TAG105D-10,2110,HD Video,tsl_1_10
c86cba54-a718-4b39-a1e5-548dac170e44,TAG105D-11,2110,HD Video,tsl_1_11
ffee9e2c-2db5-4f02-9bd5-6361a6f15a2b,TAG105D-12,2110,HD Video,tsl_1_12
f15ed85d-46fb-448a-8b5e-dbf55af3e0ec,TAG106A-01,2110,HD Video,tsl_1_1
c7fb7684-e002-4ac1-abd7-fb155c5ddc62,TAG106A-02,2110,HD Video,tsl_1_2
77154a65-6dbb-4f1e-a3dc-c4577325e008,TAG106A-03,2110,HD Video,tsl_1_3
9f7edfef-fd68-466a-a8a8-3a0659945b63,TAG106A-04,2110,HD Video,tsl_1_4
4f7dfec2-f48a-4301-bfd1-903cc7a9cc98,TAG106A-05,2110,HD Video,tsl_1_5
ea473484-e5d7-4acc-b2ea-d3cc8f663cb1,TAG106A-06,2110,HD Video,tsl_1_6
4b288864-34c4-4e64-8c52-e3c5cd658528,TAG106A-07,2110,HD Video,tsl_1_7
e76cb19f-8143-49b7-bb43-b21e9f43616a,TAG106A-08,2110,HD Video,tsl_1_8
dbdd8d85-e291-41f0-8bdb-aef6e682e580,TAG106A-09,2110,HD Video,tsl_1_9
aa8863f4-0a73-4742-9659-8ab0d96dae1f,TAG106A-10,2110,HD Video,tsl_1_10
8ae422ea-af35-44a9-bedf-9dfec51c50be,TAG106A-11,2110,HD Video,tsl_1_11
d2b242af-1287-4dd9-8b09-af4331073228,TAG106A-12,2110,HD Video,tsl_1_12
c9ca2c41-cbbb-43ec-9d64-2612c194f140,TAG106B-01,2110,HD Video,tsl_1_1
28451dc9-2614-4e56-95d1-022a25952d73,TAG106B-02,2110,HD Video,tsl_1_2
9ffa0881-2162-4d40-8723-a6c159b04eb4,TAG106B-03,2110,HD Video,tsl_1_3
c268db74-fc30-4528-a49b-5affaa0d6294,TAG106B-04,2110,HD Video,tsl_1_4
3c00776f-5103-494b-92e2-15d8abd867e4,TAG106B-05,2110,HD Video,tsl_1_5
d978a3c0-30a4-495b-a437-628d915d677b,TAG106B-06,2110,HD Video,tsl_1_6
251bd7ae-f3ad-4cff-9b01-e4364f24400c,TAG106B-07,2110,HD Video,tsl_1_7
451bf7b7-70ae-49c0-84e9-174ec5039520,TAG106B-08,2110,HD Video,tsl_1_8
b0a6ad00-1408-447c-b540-5b9882438bb7,TAG106B-09,2110,HD Video,tsl_1_9
913414e3-92e2-4057-95cf-432877c5529b,TAG106B-10,2110,HD Video,tsl_1_10
70b5a1a3-e536-4454-be9d-a41cabc7c2af,TAG106B-11,2110,HD Video,tsl_1_11
4dfa18ee-4c51-4b9b-8aee-0f9197957ed2,TAG106B-12,2110,HD Video,tsl_1_12
ba9b2f92-c661-416b-8570-867f521b132a,TAG106C-01,2110,HD Video,tsl_1_1
51654c5b-fcd0-403d-8b2b-6781bd2e5b31,TAG106C-02,2110,HD Video,tsl_1_2
ba42ccc4-bee5-4009-8a3c-2f899f495c67,TAG106C-03,2110,HD Video,tsl_1_3
06319d5f-9c6f-4f88-9af0-059015672cd3,TAG106C-04,2110,HD Video,tsl_1_4
61821891-f3c9-47bd-bc04-72c123a6312f,TAG106C-05,2110,HD Video,tsl_1_5
74e6c3cd-6cb9-40c7-a61e-7fa50bf473b2,TAG106C-06,2110,HD Video,tsl_1_6
ee51ccfc-01a4-483d-a67f-507803ed3dce,TAG106C-07,2110,HD Video,tsl_1_7
30e91c2f-5532-422a-8a7a-aa68e08f174c,TAG106C-08,2110,HD Video,tsl_1_8
27a5aa7d-41b6-4461-98ca-24960cfcb64a,TAG106C-09,2110,HD Video,tsl_1_9
798e998b-8930-45b9-a5db-26774c8319d6,TAG106C-10,2110,HD Video,tsl_1_10
2e0ec063-b4f2-4711-a573-dedb4c002f39,TAG106C-11,2110,HD Video,tsl_1_11
e93ec3f6-20eb-42b1-8d7d-2916474e1e4f,TAG106C-12,2110,HD Video,tsl_1_12
7e3f6c38-6266-44c6-a13f-f7faa78305f8,TAG106D-01,2110,HD Video,tsl_1_1
eed34103-6f69-495a-b123-397ed1e44385,TAG106D-02,2110,HD Video,tsl_1_2
5570c79c-afc9-4210-b947-38559f0e29d8,TAG106D-03,2110,HD Video,tsl_1_3
db9b903d-25d8-4009-b912-8c5f9e16fb3b,TAG106D-04,2110,HD Video,tsl_1_4
324e64c4-0f6e-40fb-86e5-473116218423,TAG106D-05,2110,HD Video,tsl_1_5
